grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Educational Results Partnership,/grants/grantee/educational-results-partnership,2016,"$125,000",Education Equity,College Pipeline,"To support City College's Bridge to Success initiative to improve college readiness among SFUSD students. $125,000"
Enact Leadership,/grants/grantee/enact-leadership,2016,"$115,000",Leadership,Investing in Our Grantees,"For executive and senior team development support of the leaders who are driving change in the San Francisco school district. $115,000"
Episcopal Community Services of San Francisco,/grants/grantee/episcopal-community-services-of-san-francisco,2016,"$25,000",Community,,
Equality California Institute,/grants/grantee/equality-california-institute,2016,"$10,000",Gay and Lesbian Rights,Cross Movement,
Equality California Institute,/grants/grantee/equality-california-institute,2016,"$200,000",Gay and Lesbian Rights,Cross Movement,"To promote citizenship and Administrative Relief for Dreamers and to educate the public about the need to protect LGBT people from discrimination. $200,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2016,"$185,000",Gay and Lesbian Rights,Research & Communications,"To support research and communications assistance for state and local public education campaigns on nondiscrimination issues. $185,000"
Equality Federation Institute,/grants/grantee/equality-federation-institute,2016,"$50,000",,,"To engage grassroots marriage equality activists to support efforts to secure civil rights protections for gay Americans. $50,000"
Equality North Carolina Foundation,/grants/grantee/equality-north-carolina-foundation,2016,"$250,000",Gay and Lesbian Rights,Public Education,"To engage people of faith in educating North Carolinians about the need to protect LGBT people from discrimination. $250,000 over two years (2016-2018)"
Equality North Carolina Foundation,/grants/grantee/equality-north-carolina-foundation,2016,"$39,000",Leadership,Investing in Our Grantees,"For board development, senior team development and executive coaching. $39,000"
Equality Ohio Education Fund,/grants/grantee/equality-ohio-education-fund,2016,"$145,000",Gay and Lesbian Rights,Public Education,"To educate the public about the need to protect LGBT people from discrimination. $145,000"
Exploratorium,/grants/grantee/exploratorium,2016,"$2,000",Community,,
Eyepop Productions,/grants/grantee/eyepop-productions,2016,"$50,000",Community,,"To ensure the broad distribution of its ""Freedom to Marry,"" documentary on how the gay movement moved the nation to embrace the freedom to marry. $50,000"
Faith in Public Life,/grants/grantee/faith-in-public-life,2016,"$100,000",Gay and Lesbian Rights,Communities of Faith,"To build state-based networks of mainstream faith leaders to inform public debates around nondiscrimination protections for LGBT people. $100,000"
Family Caregiver Alliance,/grants/grantee/family-caregiver-alliance,2016,"$25,000",Community,,
Family Emergency Shelter Coalition,/grants/grantee/family-emergency-shelter-coalition,2016,"$15,000",Community,,
Farmworker Justice Fund,/grants/grantee/farmworker-justice-fund,2016,"$150,000",Immigrant Rights,Federal Immigration Reform,"To improve living conditions, working conditions and legal status for farmworkers and their families. $150,000 over two years (2016-2018)"
Food Runners,/grants/grantee/food-runners,2016,"$25,000",Community,,
Food Runners,/grants/grantee/food-runners,2016,"$50,000",Community,,"To pick up and deliver salvaged food to San Francisco shelters and food programs. $50,000 over two years (2016-2018)"
Foundation Center,/grants/grantee/foundation-center,2016,"$15,000",Community,,
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2016,"$100,000",Education Equity,College Access and Success,"For City College to develop four high-demand career pathways to increase student success. $100,000"
Freedom Center for Social Justice,/grants/grantee/freedom-center-for-social-justice,2016,"$35,000",Gay and Lesbian Rights,Communities of Faith,"To engage African American clergy and faith communities in educating North Carolinians about the need to protect gay people from discrimination. $35,000"
Freedom for All Americans Education Fund,/grants/grantee/freedom-for-all-americans-education-fund,2016,"$200,000",Gay and Lesbian Rights,Public Education,"To coordinate public education campaigns to increase understanding of and support for the need to protect LGBT people from discrimination. $200,000"
Freedom for All Americans Education Fund,/grants/grantee/freedom-for-all-americans-education-fund,2016,"$200,000",Gay and Lesbian Rights,Public Education,"To partner with the National LGBTQ Task Force in supporting state-based faith organizing. $200,000"
Friends of the Fromm Institute,/grants/grantee/friends-of-the-fromm-institute,2016,"$10,000",Community,,
Funders for LGBTQ Issues,/grants/grantee/funders-for-lgbtq-issues,2016,"$90,000",Gay and Lesbian Rights,Increasing LGBT Resources,"To increase philanthropic giving to the LGBT community. $90,000 over two years (2016-2018)"
Georgetown University,/grants/grantee/georgetown-university,2016,"$25,000",Community,,
Georgetown University,/grants/grantee/georgetown-university,2016,"$300,000",Gay and Lesbian Rights,Cross Movement,"For the Center for Law and Social Change to share lessons learned in the struggle to achieve marriage equality with other social justice movements. $300,000 over two years (2016-2018)"
GLBTQ Legal Advocates & Defenders,/grants/grantee/glbtq-legal-advocates-defenders,2016,"$200,000",Gay and Lesbian Rights,Litigation,"To pursue litigation to defend marriage equality and advance nondiscrimination protections for LGBT people. $200,000"
Glide Foundation,/grants/grantee/glide-foundation,2016,"$25,000",Community,,
Glide Foundation,/grants/grantee/glide-foundation,2016,"$10,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2016,"$50,000",Community,,"For the I-YEL Program, in honor of Ira Hirschfield. $50,000"
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2016,"$30,000",Community,,"To support the Trails Forever Dinner. $30,000"
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2016,"$10,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2016,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2016,"$5,000",Community,,
Good Samaritan Family Resource Center of San Francisco,/grants/grantee/good-samaritan-family-resource-center-of-san-francisco,2016,"$5,500",,,
Grantmakers Concerned with Immigrants and Refugees,/grants/grantee/grantmakers-concerned-with-immigrants-and-refugees,2016,"$205,000",Immigrant Rights,California Statewide and Local Policy,"To increase philanthropic support for immigrant integration in California and nationally and to support the 2018 National Convening in Los Angeles. $205,000 over two years (2014-2016)"
Grantmakers for Education,/grants/grantee/grantmakers-for-education,2016,"$10,000",Education Equity,,
Grantmakers for Education,/grants/grantee/grantmakers-for-education,2016,"$4,000",Education Equity,,
Grantmakers for Effective Organizations,/grants/grantee/grantmakers-for-effective-organizations,2016,"$140,000",Leadership,Advancing Knowledge and Learning,"To help foundations adopt best practices in grantmaking, including prioritizing leadership development. $140,000 over two years (2016-2018)"
Grants Managers Network,/grants/grantee/grants-managers-network,2016,"$3,500",Community,,
Grassroots Institute for Fundraising Training,/grants/grantee/grassroots-institute-for-fundraising-training,2016,"$11,000",Leadership,Advancing Knowledge and Learning,
GuideStar USA,/grants/grantee/guidestar-usa,2016,"$25,000",Community,,
Hamilton Families,/grants/grantee/hamilton-families,2016,"$10,000",Community,,
Hamilton Families,/grants/grantee/hamilton-families,2016,"$40,000",Community,,"To help end homelessness among students in San Francisco public schools $40,000"
Hispanics in Philanthropy,/grants/grantee/hispanics-in-philanthropy,2016,"$10,000",Community,,
Hispanics in Philanthropy,/grants/grantee/hispanics-in-philanthropy,2016,"$5,000",Community,,
Homeless Prenatal Program,/grants/grantee/homeless-prenatal-program,2016,"$10,000",Community,,
Homeless Prenatal Program,/grants/grantee/homeless-prenatal-program,2016,"$10,000",Community,,
Horizons Foundation,/grants/grantee/horizons-foundation,2016,"$25,000",Community,,
Horizons Foundation,/grants/grantee/horizons-foundation,2016,"$160,000",Gay and Lesbian Rights,Increasing LGBT Resources,"To improve fundraising skills in gay organizations and to support LGBT executive directors in the Bay Area. $160,000"
How Kids Learn Foundation,/grants/grantee/how-kids-learn-foundation,2016,"$10,000",Community,,
How Kids Learn Foundation,/grants/grantee/how-kids-learn-foundation,2016,"$1,500",Education Equity,,
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2016,"$1,110,000",Immigrant Rights,California Civic Participation,"To increase citizenship in California and nationally through the New Americans Campaign project. $1,110,000 over two years (2016-2018)"
Independent Sector,/grants/grantee/independent-sector,2016,"$12,500",Community,,
"Inland Congregations United for Change Sponsoring Committee, Inc.",/grants/grantee/inland-congregations-united-for-change-sponsoring-committee-inc,2016,"$50,000",Immigrant Rights,California Statewide and Local Policy,"For the Inland Coalition for Immigrant Justice project to strengthen the immigrant rights movement in the Inland Empire. $50,000"
Interfaith Movement for Human Integrity,/grants/grantee/interfaith-movement-for-human-integrity,2016,"$75,000",Immigrant Rights,California Civic Participation,"To engage diverse faith communities in promoting immigrant rights and integration. $75,000"
Interfaith Movement for Human Integrity,/grants/grantee/interfaith-movement-for-human-integrity,2016,"$50,000",Leadership,Investing in Our Grantees,"To strengthen board and staff leadership for communications and fundraising. $50,000"
Intersections,/grants/grantee/intersections,2016,"$150,000",Gay and Lesbian Rights,Communities of Faith,"For the Believe Out Loud project to engage Christians around the need to protect LGBT people from discrimination. $150,000"
"Jewish Community Federation of San Francisco, the Peninsula, Marin & Sonoma",/grants/grantee/jewish-community-federation-of-san-francisco-the-peninsula-marin-sonoma,2016,"$175,000",Community,,"For general support. $175,000 over two years (2016-2018)"
Jewish Home,/grants/grantee/jewish-home,2016,"$250,000",Community,,"To support the Jewish Home's capital campaign. $250,000 over five years (2016-2020)"
La Casa de las Madres,/grants/grantee/la-casa-de-las-madres,2016,"$10,000",Community,,
